"filename", "language", "C#", "JSON", "XML", "Properties", "Markdown", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 0, -12, 0, 0, 0, 0, 0, -12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.dgspec.json", "JSON", 0, -80, 0, 0, 0, 0, 0, -80
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.props", "XML", 0, 0, -16, 0, 0, 0, 0, -16
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.targets", "XML", 0, 0, -2, 0, 0, 0, 0, -2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", -3, 0, 0, 0, 0, -1, -1, -5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.AssemblyInfo.cs", "C#", -9, 0, 0, 0, 0, -9, -5, -23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, -13, 0, 0, -1, -14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GlobalUsings.g.cs", "C#", -7, 0, 0, 0, 0, -1, -1, -9
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.sourcelink.json", "JSON", 0, -1, 0, 0, 0, 0, 0, -1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\project.assets.json", "JSON", 0, -139, 0, 0, 0, 0, 0, -139
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 4, 0, 0, 0, 0, -6, -1, -3
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateSettingsStartup.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 7
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Add.cs", "C#", 3, 0, 0, 0, 0, 2, 2, 7
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Divide.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Multiply.cs", "C#", 3, 0, 0, 0, 0, 2, 2, 7
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Power.cs", "C#", 1, 0, 0, 0, 0, 0, 1, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Functions.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Operators.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Trigonometric.cs", "C#", 6, 0, 0, 0, 0, 0, 0, 6
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.cs", "C#", 7, 0, 0, 0, 0, 19, 5, 31
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Product.cs", "C#", 1, 0, 0, 0, 0, 1, 2, 4
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Recurse.cs", "C#", 1, 0, 0, 0, 0, 1, 2, 4
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Iterative\Sum.cs", "C#", 1, 0, 0, 0, 0, 1, 2, 4
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Formal operators\Other\Ln.cs", "C#", 1, 0, 0, 0, 0, 1, 2, 4
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Constant.cs", "C#", 1, 0, 0, 0, 0, 2, -2, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Function.cs", "C#", 6, 0, 0, 0, 0, 3, 3, 12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\FunctionDefinition.cs", "C#", 0, 0, 0, 0, 0, 3, -1, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Variable.cs", "C#", 0, 0, 0, 0, 0, 1, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FormalFunction.cs", "C#", 0, 0, 0, 0, 0, 9, -1, 8
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\FunctionWrapper.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 3
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathCommand.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 3
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\MathObject.cs", "C#", 10, 0, 0, 0, 0, 17, 5, 32
"Total", "-", 41, -296, -29, -13, -378, 51, -121, -745
