"filename", "language", "JSON", "XML", "C#", "Properties", "Markdown", "comment", "blank", "total"
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\bin\Debug\net8.0\CASproject.runtimeconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 12
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.dgspec.json", "JSON", 80, 0, 0, 0, 0, 0, 0, 80
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.props", "XML", 0, 16, 0, 0, 0, 0, 0, 16
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\CASproject.csproj.nuget.g.targets", "XML", 0, 2, 0, 0, 0, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 0, 1, 1, 5
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 0, 9, 5, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 0, 1, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.GlobalUsings.g.cs", "C#", 0, 0, 7, 0, 0, 1, 1, 9
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\Debug\net8.0\CASproject.sourcelink.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\obj\project.assets.json", "JSON", 139, 0, 0, 0, 0, 0, 0, 139
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\ParseInput.cs", "C#", 0, 0, 2, 0, 0, 0, 0, 2
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Program.cs", "C#", 0, 0, 11, 0, 0, 10, 6, 27
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Setting.cs", "C#", 0, 0, 11, 0, 0, 1, 2, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateCommandsStartup.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 6
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Application\Startup\CreateSettingsStartup.cs", "C#", 0, 0, 19, 0, 0, 0, 2, 21
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Explain.cs", "C#", 0, 0, 56, 0, 0, 3, 10, 69
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Help.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Hide.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\ListObjects.cs", "C#", 0, 0, 75, 0, 0, 3, 11, 89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Show.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Info\Write.cs", "C#", 0, 0, 41, 0, 0, 8, 11, 60
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\No input\Help.cs", "C#", 0, 0, -15, 0, 0, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\ExecuteAll.cs", "C#", 0, 0, 11, 0, 0, 0, 3, 14
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\GetTime.cs", "C#", 0, 0, 27, 0, 0, 0, 3, 30
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Other\SetSetting.cs", "C#", 0, 0, -15, 0, 0, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Explain.cs", "C#", 0, 0, -56, 0, 0, -3, -10, -69
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\GetTime.cs", "C#", 0, 0, -27, 0, 0, 0, -3, -30
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Hide.cs", "C#", 0, 0, -15, 0, 0, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\ListObjects.cs", "C#", 0, 0, -75, 0, 0, -3, -11, -89
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\RemoveObject.cs", "C#", 0, 0, -14, 0, 0, 0, -3, -17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Show.cs", "C#", 0, 0, -15, 0, 0, 0, -3, -18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Single input\Write.cs", "C#", 0, 0, -36, 0, 0, -6, -10, -52
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineFunction.cs", "C#", 0, 0, 20, 0, 0, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\DefineVariable.cs", "C#", 0, 0, 20, 0, 0, 0, 3, 23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\RemoveObject.cs", "C#", 0, 0, 14, 0, 0, 0, 3, 17
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\State\SetSetting.cs", "C#", 0, 0, 15, 0, 0, 0, 3, 18
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\DefineFunction.cs", "C#", 0, 0, -20, 0, 0, 0, -3, -23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Commands\Structure\DefineVariable.cs", "C#", 0, 0, -20, 0, 0, 0, -3, -23
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Add.cs", "C#", 0, 0, 2, 0, 0, 0, 1, 3
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Divide.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 3
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Basic operators\Power.cs", "C#", 0, 0, -1, 0, 0, 0, 1, 0
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Functions.cs", "C#", 0, 0, 11, 0, 0, 0, 2, 13
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Operators.cs", "C#", 0, 0, 23, 0, 0, 0, 6, 29
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.Trigonometric.cs", "C#", 0, 0, 27, 0, 0, 0, 6, 33
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Calculation\CASMath.cs", "C#", 0, 0, 16, 0, 0, 12, 5, 33
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Other\Constant.cs", "C#", 0, 0, 30, 0, 0, 2, 7, 39
"c:\programmering\visualstudiocodeFiles\CASproject\CASproject\src\Math\Structure\Operator.cs", "C#", 0, 0, 0, 0, 0, 2, 0, 2
"Total", "-", 296, 29, 195, 13, 378, 40, 184, 1135
